Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
test-prod,Test prod,"It has never been easier to shop sweets than it is now with our shop! We are glad to welcome you at our chocolate kingdom and sincerely hope that you'll stay satisfied during your visit. Our company cares about premium quality and traditions. Smiling customers and a wide range of premium goods at fair prices , and what can be better than that?",Sweets' King,,"","",false,Title,Default Title,,,,,"",0.0,,1,deny,manual,10.00,,true,true,"",https://cdn.shopify.com/s/files/1/0856/1420/products/blog2_2.jpg?v=1451991515,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
biscuiterie-jules-destrooper-almond-thins,Biscuiterie Jules Destrooper - Almond thins,<p>Our staff will help you to make order fast and seamlessly and the delivery system will surprise you with amazing quickness. We are here to make you and your kids happy.</p>,Sweets' King,,Lollipops,"",true,Title,Default Title,,,,,"",0.0,shopify,98,deny,manual,30.00,,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/satin_heart_1.png?v=1430838528,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
biscuiterie-jules-destrooper-almond-thins,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/satin_heart_2.png?v=1430838528,2,,,,,,,,,,,,,,,,,,,,,,,,,,
biscuiterie-jules-destrooper-almond-thins,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/satin_heart_3.png?v=1430838528,3,,,,,,,,,,,,,,,,,,,,,,,,,,
biscuiterie-jules-destrooper-butter-crumble-biscuits,Biscuiterie Jules Destrooper - Butter crumble biscuits,<p>Modern sweet stores cannot replicate unique charm of candy shops but there is no doubt that you'll feel it from the very first second of your visit at our store. Sweets don't have age limits and it doesn't matter how old you are because we all become kids when see favorite chocolate or good old muffins made according to the grandmother's recipe.</p>,Sweets' King,,Chocolate heaven,"",true,Title,Default Title,,,,,"",0.0,shopify,97,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/rose_flavoured_boiled_sweets_1.png?v=1430838523,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
biscuiterie-jules-destrooper-butter-crumble-biscuits,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/rose_flavoured_boiled_sweets_2.png?v=1430838524,2,,,,,,,,,,,,,,,,,,,,,,,,,,
biscuiterie-jules-destrooper-butter-crumble-biscuits,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/rose_flavoured_boiled_sweets_3.png?v=1430838524,3,,,,,,,,,,,,,,,,,,,,,,,,,,
biscuiterie-jules-destrooper-butter-speculoos-biscuits,Biscuiterie Jules Destrooper - Butter Speculoos biscuits,"<p>Our company cares about premium quality and traditions. Smiling customers and a wide range of premium goods at fair prices , and what can be better than that? Selling candies and chocolate was always a noble business and it requires some magic, a little bit of sugar and good old recipes realized in our sweets.</p>",Sweets' King,,Cakes,"",true,Title,Default Title,,,,,"",0.0,shopify,100,deny,manual,11.00,,true,true,,https://cdn.shopify.com/s/files/1/0856/1420/products/rhubarb_and_custard_boiled_sweets_1.png?v=1430838519,1,,false,,,,,,,,,,,,,,,lb,,,true,,,true,,,active
biscuiterie-jules-destrooper-butter-speculoos-biscuits,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/rhubarb_and_custard_boiled_sweets_2.png?v=1430838519,2,,,,,,,,,,,,,,,,,,,,,,,,,,
biscuiterie-jules-destrooper-butter-speculoos-biscuits,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0856/1420/products/rhubarb_and_custard_boiled_sweets_3.png?v=1430838519,3,,,,,,,,,,,,,,,,,,,,,,,,,,
